,datetime,k0,k1,k2,bound
81,1992-01-19 16:35:00,737582.682,9549029.093,2612.0,B
82,1992-01-21 16:35:00,737696.575,9549052.93,2612.0,A
83,1992-01-21 16:35:00,737695.252,9549051.166000001,2612.0,A
84,1992-01-21 16:35:00,737564.9140000001,9549030.572999999,2612.0,B
85,1992-01-21 16:35:00,737563.675,9549028.75,2612.0,B
86,1992-01-21 16:35:00,737519.698,9549021.268,2612.0,B
87,1992-01-21 16:35:00,737518.3879999999,9549019.499,2612.0,B
88,1992-01-26 16:38:00,737744.3690000001,9549065.116,2612.0,A
89,1992-01-26 16:38:00,737743.137,9549063.541000001,2612.0,A
90,1992-01-26 16:38:00,737676.042,9549051.07,2612.0,A
91,1992-01-26 16:38:00,737674.6690000001,9549049.352,2612.0,A
92,1992-01-26 16:38:00,737604.805,9549032.909,2612.0,B
93,1992-01-26 16:38:00,737603.209,9549031.364,2612.0,B
94,1992-01-31 16:32:00,737741.905,9549061.965,2612.0,A
95,1992-01-31 16:32:00,737644.78,9549035.179,2612.0,A
96,1992-01-31 16:32:00,737602.195,9549029.365,2612.0,B
97,1992-02-02 16:45:00,737673.18,9549047.521,2612.0,A
98,1992-02-02 16:45:00,737720.766,9549059.449,2612.0,A
99,1992-02-02 16:45:00,737719.535,9549057.873,2612.0,A
100,1992-02-02 16:45:00,737625.4079999999,9549034.797,2612.0,A
101,1992-02-02 16:45:00,737623.9959999999,9549033.109,2612.0,A
102,1992-02-02 16:45:00,737544.339,9549028.34,2612.0,B
103,1992-02-07 16:24:00,737501.6170000001,9549022.641,2612.0,B
104,1992-02-07 16:24:00,737500.417,9549020.787,2612.0,B
105,1992-02-07 16:24:00,737581.3409999999,9549027.349,2612.0,B
106,1992-02-07 16:24:00,737579.944,9549025.648,2612.0,B
107,1992-02-07 16:24:00,737693.865,9549049.825,2612.0,A
108,1992-02-09 16:30:00,737643.327,9549033.523,2612.0,A
109,1992-02-09 16:30:00,737642.104,9549031.686,2612.0,A
110,1992-02-09 16:30:00,737740.673,9549060.39,2612.0,A
111,1992-02-09 16:30:00,737739.441,9549058.814,2612.0,A
112,1992-02-11 16:42:00,737561.068,9549025.203,2612.0,B
113,1992-02-11 16:42:00,737559.7729999999,9549023.423,2612.0,B
114,1992-02-11 16:42:00,737600.413,9549027.965,2612.0,B
115,1992-02-11 16:42:00,737599.2440000001,9549026.087000001,2612.0,B
116,1992-02-11 16:42:00,737658.017,9549052.558,2612.0,A
117,1992-02-11 16:42:00,737656.815,9549051.013,2612.0,A
118,1992-02-14 16:32:00,737578.5140000001,9549023.974,2612.0,B
119,1992-02-14 16:32:00,737577.0970000001,9549022.288999999,2612.0,B
120,1992-02-14 16:32:00,737622.682,9549031.343,2612.0,A
121,1992-02-14 16:32:00,737621.301,9549029.631000001,2612.0,A
122,1992-02-14 16:32:00,737718.303,9549056.297,2612.0,A
123,1992-02-16 16:30:00,737691.157,9549046.596,2612.0,A
124,1992-02-16 16:30:00,737689.803,9549044.721,2612.0,A
125,1992-02-16 16:30:00,737559.7729999999,9549023.423,2612.0,B
126,1992-02-18 16:37:00,737574.48,9549042.642,2612.0,B
127,1992-02-18 16:37:00,737573.2409999999,9549040.818,2612.0,B
128,1992-02-18 16:37:00,737668.887,9549042.598,2612.0,A
129,1992-02-21 16:40:00,737542.8620000001,9549026.702,2612.0,B
130,1992-02-21 16:40:00,737640.6240000001,9549030.051,2612.0,A
131,1992-02-21 16:40:00,737639.271,9549028.316,2612.0,A
132,1992-02-21 16:40:00,737738.21,9549057.239,2612.0,A
133,1992-02-21 16:40:00,737736.978,9549055.662999999,2612.0,A
134,1992-02-23 16:33:00,737688.449,9549042.846,2612.0,A
135,1992-02-23 16:33:00,737687.1640000001,9549041.284,2612.0,A
136,1992-02-23 16:33:00,737575.985,9549020.366,2612.0,B
137,1992-02-23 16:33:00,737574.655,9549018.613,2612.0,B
138,1992-02-25 16:35:00,737667.571,9549040.822999999,2612.0,A
139,1992-02-25 16:35:00,737665.911,9549038.877,2612.0,A
140,1992-02-25 16:35:00,737558.3259999999,9549021.762,2612.0,B
141,1992-02-25 16:35:00,737557.1690000001,9549019.874,2612.0,B
142,1992-02-28 16:17:00,737735.7459999999,9549054.088,2612.0,A
143,1992-02-28 16:17:00,737734.5140000001,9549052.513,2612.0,A
144,1992-02-28 16:17:00,737620.082,9549027.791000001,2612.0,A
145,1992-02-28 16:17:00,737618.6059999999,9549026.152,2612.0,A
146,1992-02-28 16:17:00,737541.385,9549025.064,2612.0,B
147,1992-02-28 16:17:00,737540.085,9549023.287999999,2612.0,B
148,1992-03-01 16:30:00,737555.5129999999,9549018.376,2612.0,B
149,1992-03-01 16:30:00,737554.0959999999,9549016.691,2612.0,B
150,1992-03-03 16:32:00,737573.183,9549016.972000001,2612.0,B
151,1992-03-03 16:32:00,737572.015,9549015.093,2612.0,B
152,1992-03-03 16:32:00,737638.0229999999,9549026.499,2612.0,A
153,1992-03-03 16:32:00,737636.6490000001,9549024.781,2612.0,A
154,1992-03-03 16:32:00,737717.072,9549054.721,2612.0,A
155,1992-03-06 16:36:00,737617.3470000001,9549024.344,2612.0,A
156,1992-03-06 16:36:00,737615.9959999999,9549022.608,2612.0,A
157,1992-03-06 16:36:00,737729.923,9549046.8265,2612.0,A
158,1992-03-06 16:36:00,737728.569,9549045.093,2612.0,A
159,1992-03-08 16:31:00,737517.1309999999,9549017.691,2612.0,B
160,1992-03-08 16:31:00,737515.788,9549015.947999999,2612.0,B
161,1992-03-08 16:31:00,737552.71,9549014.982,2612.0,B
162,1992-03-08 16:31:00,737551.319,9549013.277,2612.0,B
163,1992-03-08 16:31:00,737686.0190000001,9549039.34,2612.0,A
164,1992-03-08 16:31:00,737684.699,9549037.707999999,2612.0,A
165,1992-03-10 16:30:00,737538.8759999999,9549021.44,2612.0,B
166,1992-03-10 16:30:00,737537.753,9549019.527,2612.0,B
167,1992-03-10 16:30:00,737635.305,9549023.038999999,2612.0,A
168,1992-03-10 16:30:00,737633.952,9549021.305,2612.0,A
169,1992-03-15 16:35:00,737607.9709999999,9549012.127999999,2612.0,B
170,1992-03-15 16:35:00,737606.704,9549010.325,2612.0,B
171,1992-03-15 16:35:00,737682.963,9549035.902999999,2612.0,A
172,1992-03-15 16:35:00,737681.7779999999,9549034.193,2612.0,A
173,1992-03-15 16:35:00,737727.198,9549044.37,2612.0,A
174,1992-03-15 16:35:00,737726.843,9549041.64,2612.0,A
175,1992-03-17 16:31:00,737536.377,9549017.81,2612.0,B
176,1992-03-17 16:31:00,737534.825,9549016.23,2612.0,B
177,1992-03-17 16:31:00,737592.368,9549017.078,2612.0,B
178,1992-03-17 16:31:00,737591.2679999999,9549015.568,2612.0,B
179,1992-03-22 16:40:00,737550.146,9549011.402,2612.0,B
180,1992-03-22 16:40:00,737548.734,9549009.713,2612.0,B
181,1992-03-22 16:40:00,737632.5340000001,9549019.621,2612.0,A
182,1992-03-22 16:40:00,737631.191,9549017.877999999,2612.0,A
183,1992-03-23 16:36:00,737614.8420000001,9549020.718,2612.0,A
184,1992-03-23 16:36:00,737613.3409999999,9549019.099,2612.0,A
185,1992-05-03 16:22:00,737570.766,9549013.277,2612.0,B
186,1992-05-03 16:22:00,737569.202,9549011.707,2612.0,B
187,1992-05-08 16:38:00,737589.906,9549013.84,2612.0,B
188,1992-05-08 16:38:00,737588.7740000001,9549012.425,2612.0,B
189,1992-05-08 16:38:00,737664.937,9549037.446,2612.0,A
190,1992-05-08 16:38:00,737663.6209999999,9549035.385,2612.0,A
191,1992-05-10 16:27:00,737612.212,9549017.19,2612.0,A
192,1992-05-10 16:27:00,737610.777,9549015.519,2612.0,B
193,1992-05-17 16:43:00,737587.109,9549010.441,2612.0,B
194,1992-05-17 16:43:00,737585.719,9549008.736,2612.0,B
195,1992-05-24 16:29:00,737629.97,9549016.041000001,2612.0,A
196,1992-05-24 16:29:00,737628.6429999999,9549014.286,2612.0,A
197,1992-05-26 16:43:00,737612.212,9549017.19,2612.0,A
198,1992-05-26 16:43:00,737610.777,9549015.519,2612.0,B
199,1992-05-26 16:43:00,737680.5340000001,9549032.463,2612.0,A
200,1992-05-26 16:43:00,737679.2359999999,9549030.813,2612.0,A
201,1992-05-29 16:39:00,737657.048,9549026.745,2612.0,A
202,1992-05-29 16:39:00,737655.502,9549025.027999999,2612.0,A
203,1992-06-02 16:33:00,737677.803,9549028.867,2612.0,A
204,1992-06-02 16:33:00,737676.675,9549027.294,2612.0,A
205,1992-06-12 16:24:00,737675.1290000001,9549025.463,2612.0,A
206,1992-06-12 16:24:00,737673.297,9549023.86,2612.0,A
207,1992-06-12 16:24:00,737672.016,9549022.121,2612.0,A
208,1992-06-12 16:24:00,737670.9190000001,9549020.35,2612.0,A
209,1992-06-12 16:24:00,737669.577,9549018.937,2612.0,A
210,1992-06-12 16:24:00,737668.088,9549016.876,2612.0,A
211,1992-07-10 17:40:00,737738.21,9549057.239,2612.0,A
212,1992-07-10 17:40:00,737736.978,9549055.662999999,2612.0,A
213,1992-07-10 17:40:00,737474.6690000001,9549037.022,2612.0,B
214,1992-07-10 17:40:00,737473.219,9549035.364,2612.0,B
215,1992-07-12 17:28:00,737735.7459999999,9549054.088,2612.0,A
216,1992-07-12 17:28:00,737734.5140000001,9549052.513,2612.0,A
217,1992-07-12 17:28:00,737627.1390000001,9549012.669,2612.0,A
218,1992-07-12 17:28:00,737625.8990000001,9549010.846,2612.0,A
219,1992-07-16 17:42:00,737602.4509999999,9549005.273,2612.0,B
220,1992-07-16 17:42:00,737601.0290000001,9549003.593,2612.0,B
221,1992-07-19 17:33:00,737567.8459999999,9549009.974,2612.0,B
222,1992-07-19 17:33:00,737566.6070000001,9549008.15,2612.0,B
223,1992-07-21 17:35:00,737584.3809999999,9549006.99,2612.0,B
224,1992-07-21 17:35:00,737583.026,9549005.256000001,2612.0,B
225,1992-07-28 17:27:00,737719.0885,9549032.9595,2612.0,A
226,1992-07-28 17:27:00,737717.7339999998,9549031.2255,2612.0,A
227,1992-07-28 17:27:00,737550.146,9549011.402,2612.0,B
228,1992-07-28 17:27:00,737391.21,9549051.793,2612.0,B
229,1992-07-28 17:27:00,737389.849,9549050.031,2612.0,B
230,1992-08-02 17:25:00,737757.229,9549057.439,2612.0,A
231,1992-08-02 17:25:00,737755.875,9549055.705,2612.0,A
232,1992-08-02 17:25:00,737631.1590000001,9549017.902999999,2612.0,A
233,1992-08-02 17:25:00,737629.805,9549016.169,2612.0,A
234,1992-08-14 17:36:00,737625.8990000001,9549010.846,2612.0,A
235,1992-08-14 17:36:00,737624.525,9549009.127999999,2612.0,A
236,1992-08-14 17:36:00,737754.5325,9549053.9605,2612.0,A
237,1992-08-14 17:36:00,737753.181,9549052.2265,2612.0,A
238,1992-08-16 17:45:00,737548.734,9549009.713,2612.0,B
239,1992-08-16 17:45:00,737547.547,9549007.849,2612.0,B
240,1992-08-18 17:36:00,737473.219,9549035.364,2612.0,B
241,1992-08-18 17:36:00,737472.22,9549033.353,2612.0,B
242,1992-08-18 17:36:00,737773.4935000001,9549078.23,2612.0,A
243,1992-08-18 17:36:00,737772.1429999998,9549076.4965,2612.0,A
244,1992-08-21 17:30:00,737484.436,9549025.354,2612.0,B
245,1992-08-21 17:30:00,737483.3790000001,9549023.389,2612.0,B
246,1992-08-21 17:30:00,737567.8459999999,9549009.974,2612.0,B
247,1992-08-21 17:30:00,737566.6070000001,9549008.15,2612.0,B
248,1992-08-21 17:30:00,737623.2370000001,9549007.342,2612.0,A
249,1992-08-21 17:30:00,737621.9890000001,9549005.525,2612.0,A
250,1992-08-21 17:30:00,737695.662,9549027.37,2612.0,A
251,1992-08-25 17:37:00,737654.186,9549023.826,2612.0,A
252,1992-08-25 17:37:00,737652.698,9549021.536,2612.0,A
253,1992-08-25 17:37:00,737716.365,9549029.504,2612.0,A
254,1992-08-25 17:37:00,737715.01,9549027.771,2612.0,A
255,1992-08-28 17:25:00,737471.07,9549031.46,2612.0,B
256,1992-08-28 17:25:00,737469.368,9549029.999,2612.0,B
257,1992-08-28 17:25:00,737530.748,9549011.04,2612.0,B
258,1992-08-28 17:25:00,737529.5229999999,9549009.206,2612.0,B
259,1992-08-28 17:25:00,737620.445,9549003.94,2612.0,A
260,1992-08-28 17:25:00,737619.24,9549002.089,2612.0,A
261,1992-08-28 17:25:00,737581.822,9549003.405,2612.0,B
262,1992-08-28 17:25:00,737580.301,9549001.802000001,2612.0,B
263,1992-08-28 17:25:00,737694.30786191,9549025.63632981,2614.0,A
264,1992-08-28 17:25:00,737692.953441271,9549023.90275047,2614.0,A
265,1992-09-01 17:36:00,737484.436,9549025.354,2612.0,B
266,1992-09-01 17:36:00,737483.3790000001,9549023.389,2612.0,B
267,1992-09-01 17:36:00,737517.1309999999,9549017.691,2612.0,B
268,1992-09-01 17:36:00,737515.788,9549015.947999999,2612.0,B
269,1992-09-01 17:36:00,737548.734,9549009.713,2612.0,B
270,1992-09-01 17:36:00,737547.547,9549007.849,2612.0,B
271,1992-09-01 17:36:00,737776.190941636,9549081.70910273,2613.0,A
272,1992-09-01 17:36:00,737774.836520552,9549079.97552282,2613.0,A
273,1992-09-04 17:37:00,737667.003,9549015.0225,2600.0,A
274,1992-09-04 17:37:00,737713.671,9549026.0255,2600.0,A
275,1992-09-04 17:37:00,737712.317,9549024.2915,2600.0,A
276,1992-09-08 17:33:00,737751.8259999999,9549050.4295,2600.0,A
277,1992-09-08 17:33:00,737750.4720000001,9549048.7595,2600.0,A
278,1992-09-08 17:33:00,737691.6540000001,9549022.1575,2600.0,A
279,1992-09-08 17:33:00,737690.2590000001,9549020.0245,2600.0,A
280,1992-09-08 17:33:00,737646.3,9549012.8915,2600.0,A
281,1992-09-08 17:33:00,737644.946,9549011.1575,2600.0,A
282,1992-09-08 17:33:00,737581.7935,9549003.4275,2600.0,B
283,1992-09-08 17:33:00,737580.439,9549001.694,2600.0,B
284,1992-09-08 17:33:00,737498.933,9549019.156,2600.0,B
285,1992-09-08 17:33:00,737497.5785,9549017.4225,2600.0,B
286,1992-09-11 17:28:00,737784.8983566666,9549062.385755235,2600.0,A
287,1992-09-11 17:28:00,737780.6006288602,9549062.957747884,2600.0,A
288,1992-09-11 17:28:00,737780.5829622729,9549062.97154751,2600.0,A
289,1992-09-11 17:28:00,737779.24910102,9549061.227915343,2600.0,A
290,1992-09-11 17:28:00,737779.231448945,9549061.24170364,2600.0,A
291,1992-09-11 17:28:00,737777.89757318,9549059.498082804,2600.0,A
292,1992-09-11 17:28:00,737776.54604534,9549057.768250257,2600.0,A
293,1992-09-13 17:28:00,737710.962,9549022.5585,2600.0,A
294,1992-09-13 17:28:00,737709.608,9549020.8264,2600.0,A
295,1992-09-13 17:28:00,737675.1290000001,9549025.463,2600.0,A
296,1992-09-13 17:28:00,737673.297,9549023.86,2600.0,A
297,1992-09-13 17:28:00,737580.301,9549001.802000001,2600.0,B
298,1992-09-13 17:28:00,737579.01,9549000.019,2600.0,B
299,1992-09-22 17:38:00,737558.1055,9549006.118999999,2600.0,B
300,1992-09-22 17:38:00,737561.0909999999,9549001.2935,2600.0,B
301,1992-09-22 17:38:00,737617.6259999999,9549000.5585,2600.0,B
302,1992-09-22 17:38:00,737616.272,9548998.8255,2600.0,B
303,1992-09-22 17:38:00,737661.585,9549008.0915,2600.0,A
304,1992-09-22 17:38:00,737660.2309999999,9549006.3575,2600.0,A
305,1992-09-25 17:41:00,737643.5909999999,9549009.4245,2600.0,A
306,1992-09-25 17:41:00,737642.2370000001,9549007.6905,2600.0,A
307,1992-09-25 17:41:00,737599.632,9549001.8915,2600.0,B
308,1992-09-25 17:41:00,737598.2779999998,9549000.1585,2600.0,B
309,1992-09-25 17:41:00,737496.2239999998,9549015.69,2600.0,B
310,1992-09-25 17:41:00,737494.8695,9549013.957,2600.0,B
311,1992-09-25 17:41:00,737780.27,9549086.8975,2600.0,A
312,1992-09-25 17:41:00,737778.915,9549085.1645,2600.0,A
313,1992-09-25 17:41:00,737777.561,9549083.4305,2600.0,A
314,1992-09-29 17:27:00,737658.8759999998,9549004.6245,2600.0,A
315,1992-09-29 17:27:00,737657.522,9549002.8905,2600.0,A
316,1992-09-29 17:27:00,737559.7359999999,9548999.56,2600.0,B
317,1992-09-29 17:27:00,737558.382,9548997.8265,2600.0,B
318,1992-09-29 17:27:00,737511.5055,9549010.921,2600.0,B
319,1992-10-01 17:29:00,737527.9670000001,9549007.6295,2600.0,B
320,1992-10-01 17:29:00,737526.613,9549005.8955,2600.0,B
321,1992-10-01 17:29:00,737596.923,9548998.4245,2600.0,B
322,1992-10-01 17:29:00,737595.569,9548996.6915,2600.0,B
323,1992-10-01 17:29:00,737640.8825,9549005.9575,2600.0,A
324,1992-10-01 17:29:00,737639.5279999998,9549004.2235,2600.0,A
325,1992-10-01 17:29:00,737784.655,9549068.1475,2600.0,A
326,1992-10-01 17:29:00,737783.304,9549066.4175,2600.0,A
327,1992-10-06 17:54:00,737543.252,9549002.8295,2600.0,B
328,1992-10-06 17:54:00,737541.8979999999,9549001.0955,2600.0,B
329,1992-10-06 17:54:00,737576.3759999998,9548996.4935,2600.0,B
330,1992-10-06 17:54:00,737575.021,9548994.7595,2600.0,B
331,1992-10-06 17:54:00,737708.253,9549019.091,2600.0,A
332,1992-10-06 17:54:00,737706.8990000001,9549017.3575,2600.0,A
333,1992-10-13 17:35:00,737787.358,9549071.6065,2600.0,A
334,1992-10-13 17:35:00,737786.007,9549069.8775,2600.0,A
335,1992-10-13 17:35:00,737614.917,9548997.0915,2600.0,B
336,1992-10-13 17:35:00,737613.5630000002,9548995.3585,2600.0,B
337,1992-10-13 17:35:00,737510.1515,9549009.188,2600.0,B
338,1992-10-13 17:35:00,737508.7964999998,9549007.455,2600.0,B
339,1992-10-30 17:30:00,737594.2139999998,9548994.9575,2600.0,B
340,1992-10-30 17:30:00,737592.86,9548993.224,2600.0,B
341,1992-10-30 17:30:00,737525.2579999998,9549004.1625,2600.0,B
342,1992-10-30 17:30:00,737523.9040000001,9549002.4285,2600.0,B
343,1992-11-02 17:35:00,737609.4990000002,9548990.1575,2600.0,B
344,1992-11-02 17:35:00,737608.145,9548988.4235,2600.0,B
345,1992-11-02 17:35:00,737537.834,9548995.8955,2600.0,B
346,1992-11-02 17:35:00,737536.48,9548994.1615,2600.0,B
347,1992-11-22 17:35:00,737688.89,9549018.702,2600.0,A
348,1992-11-22 17:35:00,737687.536,9549016.968,2600.0,A
349,1992-11-22 17:35:00,737686.181,9549015.235,2600.0,A
350,1992-11-22 17:35:00,737684.827,9549013.501,2600.0,A
351,1992-11-22 17:35:00,737683.4720000001,9549011.768,2600.0,A
352,1992-11-22 17:35:00,737682.118,9549010.034,2600.0,A
353,1992-11-24 17:34:00,737557.103,9548996.034,2600.0,B
354,1992-11-24 17:34:00,737555.5290000001,9548994.472000001,2600.0,B
355,1992-11-24 17:34:00,737638.2359999999,9549002.441,2600.0,A
356,1992-11-24 17:34:00,737636.7740000001,9549000.791000001,2600.0,A
357,1992-12-15 17:40:00,737705.5445,9549015.6235,2600.0,A
358,1992-12-15 17:40:00,737704.19,9549013.8905,2600.0,A
359,1992-12-15 17:40:00,737591.5055,9548991.4905,2600.0,B
360,1992-12-15 17:40:00,737590.1510000002,9548989.7565,2600.0,B
361,1992-12-23 17:30:00,737522.5490000001,9549000.6955,2600.0,B
362,1992-12-23 17:30:00,737521.1950000002,9548998.9615,2600.0,B
363,1992-12-23 17:30:00,737554.3185,9548992.6255,2600.0,B
364,1992-12-23 17:30:00,737552.9639999998,9548990.8925,2600.0,B
