Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
27,27,737645,9.54895e+06,2600,9.5774e+06
28,28,737638,9.54894e+06,2600,9.57739e+06
29,29,737650,9.54896e+06,2600,9.5774e+06
30,30,737661,9.54895e+06,2600,9.5774e+06
31,31,737678,9.54897e+06,2600,9.57742e+06
32,32,737690,9.54896e+06,2600,9.57741e+06
33,33,737706,9.54898e+06,2600,9.57743e+06
34,34,737717,9.54897e+06,2600,9.57742e+06
35,35,737737,9.549e+06,2600,9.57745e+06
36,36,737749,9.54899e+06,2600,9.57744e+06
37,37,737752,9.54899e+06,2600,9.57745e+06
38,38,737764,9.54898e+06,2600,9.57744e+06
39,39,737827,9.54906e+06,2600,9.57752e+06
40,40,737858,9.54896e+06,2600,9.57743e+06
41,41,737804,9.54889e+06,2600,9.57735e+06
42,42,737764,9.54885e+06,2600,9.57731e+06
43,43,737746,9.54884e+06,2600,9.57729e+06
44,44,737724,9.54882e+06,2600,9.57728e+06
45,45,737676,9.5488e+06,2600,9.57726e+06
46,46,737645,9.54895e+06,2600,9.5774e+06
