Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
0,0,737359,9.54929e+06,2600,9.57772e+06
1,1,737373,9.54931e+06,2600,9.57774e+06
2,2,737385,9.5493e+06,2600,9.57773e+06
3,3,737400,9.54932e+06,2600,9.57775e+06
4,4,737412,9.54931e+06,2600,9.57774e+06
5,5,737437,9.54934e+06,2600,9.57777e+06
6,6,737449,9.54933e+06,2600,9.57777e+06
7,7,737459,9.54935e+06,2600,9.57778e+06
8,8,737471,9.54934e+06,2600,9.57777e+06
9,9,737484,9.54935e+06,2600,9.57779e+06
10,10,737495,9.54934e+06,2600,9.57778e+06
11,11,737496,9.54934e+06,2600,9.57778e+06
12,12,737508,9.54934e+06,2600,9.57777e+06
13,13,737492,9.54932e+06,2600,9.57775e+06
14,14,737504,9.54931e+06,2600,9.57774e+06
15,15,737517,9.54932e+06,2600,9.57776e+06
16,16,737537,9.54935e+06,2600,9.57779e+06
17,17,737529,9.54939e+06,2600,9.57783e+06
18,18,737524,9.54942e+06,2600,9.57785e+06
19,19,737488,9.54944e+06,2600,9.57788e+06
20,20,737474,9.54945e+06,2600,9.57789e+06
21,21,737452,9.54946e+06,2600,9.5779e+06
22,22,737425,9.54946e+06,2600,9.5779e+06
23,23,737364,9.54945e+06,2600,9.57788e+06
24,24,737239,9.5494e+06,2600,9.57782e+06
25,25,737231,9.54939e+06,2600,9.57781e+06
26,26,737359,9.54929e+06,2600,9.57772e+06
