Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
47,47,737193,9.54891e+06,2600,9.57732e+06
48,48,737349,9.54911e+06,2600,9.57753e+06
49,49,737361,9.5491e+06,2600,9.57753e+06
50,50,737351,9.54909e+06,2600,9.57751e+06
51,51,737363,9.54908e+06,2600,9.5775e+06
52,52,737357,9.54907e+06,2600,9.5775e+06
53,53,737368,9.54906e+06,2600,9.57749e+06
54,54,737367,9.54906e+06,2600,9.57748e+06
55,55,737379,9.54905e+06,2600,9.57748e+06
56,56,737381,9.54905e+06,2600,9.57748e+06
57,57,737393,9.54904e+06,2600,9.57747e+06
58,58,737395,9.54904e+06,2600,9.57747e+06
59,59,737407,9.54904e+06,2600,9.57746e+06
60,60,737408,9.54904e+06,2600,9.57747e+06
61,61,737420,9.54903e+06,2600,9.57746e+06
62,62,737418,9.54903e+06,2600,9.57746e+06
63,63,737430,9.54902e+06,2600,9.57745e+06
64,64,737429,9.54902e+06,2600,9.57745e+06
65,65,737441,9.54901e+06,2600,9.57744e+06
66,66,737438,9.549e+06,2600,9.57744e+06
67,67,737450,9.54899e+06,2600,9.57743e+06
68,68,737449,9.54899e+06,2600,9.57743e+06
69,69,737461,9.54898e+06,2600,9.57742e+06
70,70,737462,9.54898e+06,2600,9.57742e+06
71,71,737474,9.54898e+06,2600,9.57741e+06
72,72,737473,9.54897e+06,2600,9.57741e+06
73,73,737485,9.54896e+06,2600,9.5774e+06
74,74,737487,9.54897e+06,2600,9.5774e+06
75,75,737499,9.54896e+06,2600,9.5774e+06
76,76,737506,9.54897e+06,2600,9.57741e+06
77,77,737518,9.54896e+06,2600,9.5774e+06
78,78,737521,9.54896e+06,2600,9.5774e+06
79,79,737533,9.54895e+06,2600,9.57739e+06
80,80,737535,9.54896e+06,2600,9.5774e+06
81,81,737547,9.54895e+06,2600,9.57739e+06
82,82,737554,9.54896e+06,2600,9.5774e+06
83,83,737566,9.54895e+06,2600,9.57739e+06
84,84,737570,9.54895e+06,2600,9.57739e+06
85,85,737582,9.54894e+06,2600,9.57739e+06
86,86,737582,9.54894e+06,2600,9.57739e+06
87,87,737594,9.54893e+06,2600,9.57738e+06
88,88,737605,9.54892e+06,2600,9.57737e+06
89,89,737626,9.54895e+06,2600,9.5774e+06
90,90,737638,9.54894e+06,2600,9.57739e+06
91,91,737645,9.54895e+06,2600,9.5774e+06
92,92,737675,9.5488e+06,2600,9.57726e+06
93,93,737671,9.5488e+06,2600,9.57726e+06
94,94,737660,9.5488e+06,2600,9.57725e+06
95,95,737650,9.5488e+06,2600,9.57725e+06
96,96,737635,9.5488e+06,2600,9.57725e+06
97,97,737610,9.5488e+06,2600,9.57724e+06
98,98,737582,9.5488e+06,2600,9.57724e+06
99,99,737546,9.54879e+06,2600,9.57724e+06
100,100,737509,9.54879e+06,2600,9.57723e+06
101,101,737483,9.54879e+06,2600,9.57723e+06
102,102,737442,9.54879e+06,2600,9.57723e+06
103,103,737364,9.5488e+06,2600,9.57723e+06
104,104,737327,9.54881e+06,2600,9.57724e+06
105,105,737193,9.54891e+06,2600,9.57732e+06
